organization_name,startup_uuid,founder_name,linkedin_url,is_scrapped,is_scrapped_profile
ROIÂ¬â¤,d6e022f7-5062-7db1-48eb-ca5dc2b516b7,,,1,0
Roomi,b92cf1a1-8808-9532-ba27-ad53a7bfe029,,,1,0
Ryan Specialty Group,62905337-ee21-d86c-3876-85879a93c9ed,,,1,0
Salsit,c13a0ab9-d007-735b-6142-901c5ce2f036,,,1,0
Sentinel Technologies,56d7007a-f0ef-603a-6c30-947c8912f49a,,,1,0
"SHREDZ Supplements, LLC",03f7a734-2022-3bdc-e813-6e7f4d7c3e56,,,1,0
Skillify,03d4d592-6337-4289-aa2a-3747e7eeaec8,,,1,0
Tagazu,dd9a9c5c-f1dd-8f65-ce33-fe539570d427,,,1,0
The Power Company,38692849-f343-cfd4-45a0-f418a876f304,,,1,0
BehaviorMatrix,f3293f0c-2fc9-079c-4891-a3a7b6fe2596,,,1,0
Berkman Financial,b39e572b-cf01-f210-e4a9-eca853d0a900,,,1,0
Big Squid,f71981cf-d06e-1b99-aa52-843a1e24fd32,,,1,0
BigSun Technologies Pvt. Ltd,1493da6b-94b1-a8e6-276a-127620f2301a,,,1,0
BLINQ,eafd9f84-4422-7845-0ddd-56b9d9776923,,,1,0
Build Realty,4bb0afd3-4eca-799f-5734-15bc722be499,,,1,0
BuzzyBooth,7c3f255e-7e4d-f877-e001-c6d60c442585,,,1,0
CareCloud,63d5223c-ca9a-88bf-48f2-e91e9337ab99,,,1,0
CarePlus,2a298daf-3789-bdbc-a2ee-9a4257cc6749,,,1,0
Cellics Therapeutics,a92f39f4-f994-433a-be8a-8a8b20e2cef8,,,1,0
ChartFast,45cd0c54-64b9-9336-fee6-1cabaf6cf8db,,,1,0
Chertoff Group,af9d01e5-5494-20bb-30c9-8eda978112ec,,,1,0
ClinCapture,d1686996-a5d2-00d0-4960-a45d2b7aa232,,,1,0
SmartyAds,a4e54c7f-f71b-c1a8-4c07-77b9fcc732c5,,,1,0
Smilin Dogs,32e07031-ad06-44cd-b4ef-d63ff3f1addb,,,1,0
SmithRx,99cc85e6-05f0-434f-a0ab-8423c3f9b1f0,,,1,0
Soft System Solution,ef11234a-f58f-fb66-dd5c-291d2b5883fc,,,1,0
Softnautics,60589078-e078-4571-a5d5-649268aa410f,,,1,0
Squan,b2589d37-43bd-7f4f-ad2b-c4599f3c8740,,,1,0
SSM Direct,bc2485c1-3fde-dbd6-e300-82ff8c034877,,,1,0
Superfly,259a58fa-aa47-d8cc-5d8e-283d85c0fc72,,,1,0
Sureline Systems,19c8e932-0a78-3502-79b5-36e4fb20a314,,,1,0
"Trio Rewards, Inc.",42bdc40f-b679-d398-7f6a-30cccf704f49,,,1,0
trusii,d1f9b5ef-2f83-41d4-bf09-bd97cae0f852,,,1,0
Unpakt,f94f44dc-2856-1a80-51c0-f3de1ee2e63d,,,1,0
Untitled Magazine,bae42440-9c06-8a5d-e713-19720ddcd554,,,1,0
Apollo Concepts,53196dd0-291b-45b6-b5d6-1f91c2a28fe0,,,1,0
Atlas Lexington,273cefb4-2ef4-4435-9112-15f904549cc3,,,1,0
Broker Genius,c0a66b01-d97f-4784-b651-dd136669563d,,,1,0
Campaign Development Corp,9df6013f-e9f5-fed8-c353-c8ad5ce1ce18,,,1,0
Smart Software Testing Solutions,f8f11f12-6480-ebc1-61c1-c50fea94f23f,,,1,0
"UZURV, LLC",09fb7d5d-1cad-4287-a40a-5ce65cb8d3ce,,,1,0
ViVex Biomedical,7509c192-3400-ff9c-8677-18a061cda4a9,,,1,0
Zepp,5ac1b1fa-c40c-9f85-ed41-49aa0fd34b1a,,,1,0
