organization_name,startup_uuid,founder_name,linkedin_url,is_scrapped,is_scrapped_profile
SupplyKick,d3c566a4-1f6d-48ba-bb12-13a534af6948,Chris Palmer,https://www.linkedin.com/in/christophermpalmer,1,0
Trayvax,678cc576-184b-80e2-2d18-e1a54d5ad709,Mark King,https://www.linkedin.com/in/mark-king-9b96ab112/,1,0
Crowd PR,7bf6f444-9167-a9ca-a18d-4071d4b0739f,Marie Stapleton,https://www.linkedin.com/in/crowd-pr-marie,1,0
The Purple Carrot,c554e8ae-8753-c4b0-45a2-7d8e38c8d233,Andrew Levitt,https://www.linkedin.com/in/andrewnlevitt,1,0
BR√Ö¬í√É¬µVO Pay,1cba4133-cfd0-1d53-77b4-21cb49a28bf3,Maria Luna,https://www.linkedin.com/in/mlunaceobravopay/,1,0
BR√¢¬â¬à√É¬≠√¢¬à¬ö√Ç¬µVO Pay,1cba4133-cfd0-1d53-77b4-21cb49a28bf3,Maria Luna,https://www.linkedin.com/in/mlunaceobravopay/,1,0
ExpandLab,d09ebaf4-a27f-158e-ce7c-695a4e01410a,Adam Phillips,https://www.linkedin.com/in/adam~phillips,1,0
Caktus,8445c917-e76d-48ab-4f9e-3a903ea440dc,Panu Keski-Pukkila,http://www.linkedin.com/pub/panukeskipukkila,1,0
Kissmetrics,c7a28547-3a5e-feb0-567f-ee7cba6bb948,khiladi poswal,https://www.linkedin.com/in/khiladi-gurjar-732aaa178,1,0
HyreCar,5c8927ec-6aa3-c197-96e5-1a8d34ef143e,Abhishek Arora,https://www.linkedin.com/in/abhi-arora-70901bb7/,1,0
LevelUp,135b2272-9318-dc7f-9c82-5d6a5c7e73d9,Seth Priebatsch,https://www.linkedin.com/in/chiefninja,1,0
Shiftsmart,cf59ba58-4687-4d0b-a396-0e3cd8849b6d,Aakash Kumar,https://www.linkedin.com/in/aakash-kumar-98327714/,1,0
Zoomdata,ab1e9063-6a2c-6735-7775-99631aec760b,Justin Langseth,http://www.linkedin.com/pub/justin-langseth/2/183/9a7,1,0
Filevine,c3238dfc-293f-45c0-abb7-5baaa3c00c0f,Jim Blake,https://www.linkedin.com/in/jim-blake-10a46615b/,1,0
FinancialForce,76ca9c5a-61a4-1450-233b-0081c90f51d3,Debbie Ashton,http://uk.linkedin.com/pub/debbie-ashton/4/961/658,1,0
Powerupcloud Technologies,035a5b27-fc07-c927-3450-1c614ca4bb1b,Siva S,https://www.linkedin.com/in/surendirasiva/,1,0
Rentah,b113868e-a6e7-44c1-4f46-2a21c842f65c,Anup Desai,https://www.linkedin.com/in/rentah/,1,0
Roomeze,a52b3322-845a-2a2b-c0e1-95e9684d4099,Jordan Davidovit,https://www.linkedin.com/in/jordan-davidovit-a2599580,1,0
Stoop,9a3afa4c-f1ce-8f27-bb6f-876f36b1092a,Uri Maxima,https://www.linkedin.com/in/aumaxima,1,0
Vera Whole Health,2c718ee4-a250-e338-8a25-8863e8030a22,Tom Norwood,https://www.linkedin.com/in/tom-n-4413415/,1,0
SpeachMe,7dc83475-ecf1-ff6a-1375-3e673f7e8c7c,Najette Fellache,https://www.linkedin.com/in/najette-fellache-6331b866,1,0
Specright,81e862b5-2acf-cac4-b153-1fc22e8d63e4,Matthew Wright,https://www.linkedin.com/in/matthew-wright-17a58a121/,1,0
TRELORA,9a938d75-fc6c-b3b5-7fc7-e1480b10a521,Joshua Hunt,https://www.linkedin.com/in/joshua-hunt-22377211/,1,0
Wyre,101f0fb2-5382-f657-21f4-b3082c12fb78,Ioannis Giannaros,http://www.linkedin.com/in/ioannisgiannaros,1,0
